location_id,first_seen,last_activity,request_count,is_dev_account,months_active,status
gdzneuvA9mUJoRroCv4O,2025-11-21,2026-02-24,2477,true,4,active
QjrnkYkApsr3Pw9D6Xkl,2025-11-22,2025-11-27,168,false,1,churned
2VuOfM265RvlOoxkQkpI,2025-11-24,2025-12-08,34,false,2,churned
jync8jztKk54ekxR41mh,2025-11-26,2025-12-21,266,false,2,churned
8M1NSZzckY7M2KH4YD54,2025-11-26,2025-11-26,12,false,1,churned
j6Lo4zmR1bLqAZKa4qA4,2025-12-03,2026-01-02,46,false,2,churned
r3iSJSDlWKdBeTbxzq15,2025-12-08,2026-02-16,24,false,3,active
YcTMZv0tRv2yF4Jsyc3m,2025-12-08,2026-01-20,77,false,2,churned
f5gtkYApXptSz4A6sHUR,2025-12-09,2026-02-17,2122,false,3,active
77eh6Yb7UDb3RkDTFQbS,2025-12-11,2026-02-10,66,false,3,active
4NXbu5OPwVzBZJXx74EA,2025-12-12,2026-02-15,418,false,3,active
nG8OlMhCho0vPY7msUnA,2025-12-16,2026-02-08,1792,false,3,active
41ySOzBJAkE36l3Iz7C8,2025-12-16,2025-12-21,160,false,1,churned
O7pOtfkCX8Xjon59hb52,2025-12-18,2026-02-06,905,false,3,active
ygw6rrilEUeLsuDssdJz,2025-12-21,2025-12-21,583,false,1,churned
ORAR6TYKTK091V2KxxCL,2025-12-22,2026-01-12,536,false,2,churned
8MdvxtWC7PwpAQrKrkFk,2025-12-26,2026-01-18,58,false,2,churned
Bxg4TLxjgMuElZOcrxRl,2026-01-10,2026-01-20,169,false,1,churned
yBEuMuj6fSwGh7YB8K87,2026-01-12,2026-02-12,644,false,2,active
0en8hN9fLd5HPVTZyM3m,2026-01-16,2026-01-16,256,false,1,churned
odxvPWxUpz5fjjtNVK5p,2026-01-21,2026-02-16,32,false,1,active
2LMCsEW87H3nkGaXvul2,2026-01-23,2026-01-23,64,false,1,churned
pKZDBzDkqR61N2ZL0XA4,2026-01-24,2026-02-08,329,false,1,active
1mzUKgDfH2w2HCSkk33z,2026-01-24,2026-02-08,128,false,1,active
yvjwtWM92HI0YvY7y9fz,2026-01-26,2026-02-13,1130,false,1,active
tMJ1JAP48NuTx184CEdx,2026-01-27,2026-02-20,588,false,1,active
mexOsoq6nZ6KWqRj1Pts,2026-01-29,2026-01-29,56,false,1,churned
k72Tx1RbocmEW6bDkF1n,2026-01-29,2026-02-17,425,false,1,active
seN3jsCKBifhTEr16nZr,2026-01-31,2026-02-08,776,false,1,active
uHIWeU7ALHsks9dUauzG,2026-02-01,2026-03-02,1444,false,2,active
VPxpQoDv5IL8QWgHr57h,2026-02-06,2026-02-06,272,false,1,active
qGq0aDi9nfR1rZ2oCkKh,2026-02-07,2026-02-28,410,false,1,active
Q9bdjGSsuJ4q8xRHgC0Z,2026-02-03,2026-02-03,114,false,1,active
kHQWsN1ZHVPGkKqjM6pa,2026-02-03,2026-02-10,59,false,1,active
cIsIXFDXdaZur3LRxP4W,2026-02-11,2026-02-27,792,false,1,active
XYlCllsGiNPI3spZWzvH,2026-02-11,2026-02-17,56,false,1,active
DBxiIjCQli809K7qlYQB,2026-02-11,2026-02-20,182,false,1,active
7JXuojwlKpop1JPo7yWt,2026-02-11,2026-02-24,710,false,1,active
SSvJTJHrPsY8MBwmH6Lj,2026-02-18,2026-02-18,98,false,1,active
n6DpCPK9ODlyZ1uiEedl,2026-02-20,2026-02-24,756,false,1,active
EURAIHtMMQtS7x2SJmUN,2026-02-21,2026-02-23,379,false,1,active
bu4kOmdwmWI2B8j2dz3q,2026-02-24,2026-02-25,31,false,1,active
9l51pYK07In2votKDIav,2026-02-24,2026-03-02,33,false,1,active
NhPELGjZigc5YCurrHSK,2026-02-25,2026-02-26,377,false,1,active
